ngram,frekuensi,source_app
kode otp,85,Mobile JKN
otp masuk,36,Mobile JKN
masuk masuk,34,Mobile JKN
otp sms,25,Mobile JKN
verifikasi wajah,23,Mobile JKN
daftar online,23,Mobile JKN
daftar susah,22,Mobile JKN
sms masuk,22,Mobile JKN
mudah sulit,21,Mobile JKN
kode verifikasi,21,Mobile JKN
log out,20,Mobile JKN
bantu mudah,17,Mobile JKN
login susah,17,Mobile JKN
otp kirim,16,Mobile JKN
masukin nomor,15,Mobile JKN
verifikasi nomor,14,Mobile JKN
nunggu kode,14,Mobile JKN
kirim kirim,12,Mobile JKN
mudah daftar,12,Mobile JKN
verifikasi sms,12,Mobile JKN
cek sehat,64,SATUSEHAT
sertifikat vaksin,55,SATUSEHAT
pilih tema,50,SATUSEHAT
minta valid,48,SATUSEHAT
ganti pin,46,SATUSEHAT
sehat gratis,45,SATUSEHAT
lupa pin,41,SATUSEHAT
kode verifikasi,28,SATUSEHAT
kode otp,26,SATUSEHAT
pin salah,26,SATUSEHAT
lupa akun,21,SATUSEHAT
masukin pin,21,SATUSEHAT
masuk kode,20,SATUSEHAT
gabisa login,19,SATUSEHAT
hasil periksa,18,SATUSEHAT
susah login,18,SATUSEHAT
masuk pin,17,SATUSEHAT
isi data,16,SATUSEHAT
pin masuk,16,SATUSEHAT
suruh pilih,16,SATUSEHAT
