kata,frekuensi,source_app
daftar,259,Mobile JKN
masuk,256,Mobile JKN
mudah,226,Mobile JKN
susah,177,Mobile JKN
otp,161,Mobile JKN
kode,158,Mobile JKN
sulit,156,Mobile JKN
bantu,152,Mobile JKN
verifikasi,134,Mobile JKN
login,120,Mobile JKN
sms,112,Mobile JKN
ribet,102,Mobile JKN
nomor,88,Mobile JKN
baik,80,Mobile JKN
kirim,79,Mobile JKN
update,79,Mobile JKN
aplikasi,76,Mobile JKN
layan,69,Mobile JKN
cepat,61,Mobile JKN
gagal,59,Mobile JKN
login,399,SATUSEHAT
masuk,302,SATUSEHAT
pin,264,SATUSEHAT
daftar,252,SATUSEHAT
sehat,198,SATUSEHAT
data,164,SATUSEHAT
email,155,SATUSEHAT
akun,131,SATUSEHAT
vaksin,119,SATUSEHAT
valid,116,SATUSEHAT
cek,115,SATUSEHAT
ganti,114,SATUSEHAT
salah,113,SATUSEHAT
bantu,111,SATUSEHAT
verifikasi,109,SATUSEHAT
susah,108,SATUSEHAT
hasil,108,SATUSEHAT
baik,105,SATUSEHAT
pilih,101,SATUSEHAT
gabisa,98,SATUSEHAT
